system:index,NDVI,date,.geo
20180215T182431_20180215T182434_T12UWU,-0.012548763,2/15/18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181217T182749_20181217T182750_T12UWU,0.018113404,12/17/18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181227T182749_20181227T182915_T12UWU,0.001899125,12/27/18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T182741_20190101T182744_T12UWU,0.114375129,1/1/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T182739_20190106T182845_T12UWU,0.079688289,1/6/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T182719_20190116T182713_T12UWU,-0.011814698,1/16/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190121T182651_20190121T182651_T12UWU,-0.007766169,1/21/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190126T182639_20190126T182633_T12UWU,0.043244361,1/26/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190131T182611_20190131T182605_T12UWU,-0.005646287,1/31/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190205T182539_20190205T182540_T12UWU,0.005612587,2/5/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190210T182511_20190210T182825_T12UWU,0.051665184,2/10/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190215T182439_20190215T182438_T12UWU,-0.006353514,2/15/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190220T182401_20190220T182517_T12UWU,-0.004127922,2/20/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190225T182329_20190225T182444_T12UWU,-0.003508625,2/25/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190302T182251_20190302T182249_T12UWU,0.008703977,3/2/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190307T182219_20190307T182213_T12UWU,-0.015317766,3/7/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190312T182141_20190312T182905_T12UWU,-0.021117485,3/12/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190317T182109_20190317T182716_T12UWU,-0.023671059,3/17/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190322T182031_20190322T182030_T12UWU,0.016545541,3/22/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190327T182059_20190327T182100_T12UWU,0.015805273,3/27/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190401T181921_20190401T182223_T12UWU,-0.008382943,4/1/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190406T181929_20190406T182214_T12UWU,0.213885234,4/6/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190411T181921_20190411T182729_T12UWU,0.046022565,4/11/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190416T181929_20190416T182118_T12UWU,0.023624718,4/16/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190421T181921_20190421T182100_T12UWU,0.158613083,4/21/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190426T181929_20190426T182043_T12UWU,0.02473116,4/26/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190506T181929_20190506T182811_T12UWU,0.22074901,5/6/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190516T181929_20190516T182446_T12UWU,0.007077488,5/16/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190521T181921_20190521T183010_T12UWU,0.015374823,5/21/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190526T181929_20190526T182016_T12UWU,0.003012834,5/26/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190531T181921_20190531T181927_T12UWU,0.224081094,5/31/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190615T181929_20190615T182424_T12UWU,0.167023702,6/15/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190620T181921_20190620T182912_T12UWU,0.182242733,6/20/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190715T181929_20190715T182114_T12UWU,0.148456703,7/15/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190720T181931_20190720T182301_T12UWU,0.138770322,7/20/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190809T181921_20190809T181931_T12UWU,-0.002837191,8/9/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190814T181929_20190814T182958_T12UWU,0.051940057,8/14/19,"{""type"":""MultiPoint"",""coordinates"":[]}"
